rating,sentiment_score,review_length,verified_purchase,helpfulness_ratio,actual_label,risk_probability,order_value,cost_ai,cost_human,cost_hybrid,optimal_strategy,expected_cost,shap_rating,shap_sentiment_score,shap_review_length,shap_verified_purchase,shap_helpfulness_ratio,top_risk_drivers,decision_explanation
5.0,0.6,3,False,0.0,1,0.064521444841413,24.99,1.4511518159282215,4.241858635988037,1.4511518159282215,AI Automation,1.4511518159282215,-0.14947633,-1.2701749,0.042826924,-0.22655626,-0.013521903,"rating, review_length, sentiment_score","AI automation recommended due to low predicted risk (0.06). Key signals: rating, review_length, sentiment_score."
5.0,-0.1,6,True,0.0,1,0.9298000436713206,24.99,20.912132782211675,7.485355463701946,7.485355463701946,Human Review,7.485355463701946,0.17103508,2.5378745,0.23547053,0.031970266,1.0314289,"review_length, rating, verified_purchase","Human review recommended due to elevated risk (0.93). Key drivers: review_length, rating, verified_purchase."
5.0,0.375,6,True,0.0,0,0.157013919290816,24.99,3.531400058769743,4.588566676461624,3.531400058769743,AI Automation,3.531400058769743,-0.05676839,-0.6923932,0.12297776,0.06196721,-0.19655412,"review_length, rating, verified_purchase","AI automation recommended due to low predicted risk (0.16). Key signals: review_length, rating, verified_purchase."
1.0,0.4,20,True,0.0,1,0.9210247634843682,24.99,20.714767955526924,7.452461325921154,7.452461325921154,Human Review,7.452461325921154,2.9380682,-0.13275859,0.1456647,0.03911267,0.054762166,"review_length, rating, verified_purchase","Human review recommended due to elevated risk (0.92). Key drivers: review_length, rating, verified_purchase."
5.0,0.16,2,True,0.1578947368421052,0,0.5918877592476075,24.99,13.31214759323794,6.218691265539658,6.218691265539658,Human Review,6.218691265539658,0.015320492,0.6891927,0.094225556,0.07965778,-0.31686264,"rating, review_length, verified_purchase","Human review recommended due to elevated risk (0.59). Key drivers: rating, review_length, verified_purchase."
4.0,0.4928571428571428,33,False,0.2444444444444444,0,0.0245164462375792,24.99,0.5513993923293943,4.091899898721565,0.5513993923293943,AI Automation,0.5513993923293943,-3.059338,-0.4758384,-0.023177354,-0.59173256,-0.25875616,"review_length, rating, sentiment_score","AI automation recommended due to low predicted risk (0.02). Key signals: review_length, rating, sentiment_score."
5.0,0.1819139194139194,242,False,3.278195488721805,1,0.7565081590077645,24.99,17.01462500424363,6.835770834040606,6.835770834040606,Human Review,6.835770834040606,0.08173097,0.43612513,-0.10058627,-0.034491446,0.9175517,"review_length, rating, helpfulness_ratio","Human review recommended due to elevated risk (0.76). Key drivers: review_length, rating, helpfulness_ratio."
2.0,0.1149999999999999,54,True,0.0,0,0.7392965479974586,24.99,16.62751866101084,6.771253110168473,6.771253110168473,Human Review,6.771253110168473,0.27067816,0.5013421,0.034757204,0.008085502,0.23560469,"review_length, rating, verified_purchase","Human review recommended due to elevated risk (0.74). Key drivers: review_length, rating, verified_purchase."
2.0,-0.1,18,True,0.7777777777777778,1,0.934003473282682,24.99,21.0066721176008,7.501112019600133,7.501112019600133,Human Review,7.501112019600133,2.1749928,2.2505374,0.134646,-0.060486555,0.17460173,"review_length, rating, verified_purchase","Human review recommended due to elevated risk (0.93). Key drivers: review_length, rating, verified_purchase."
5.0,0.2836363636363636,124,True,6.857142857142857,1,0.1093880340677293,24.99,2.4602462742173,4.410041045702883,2.4602462742173,AI Automation,2.4602462742173,-0.006702212,-0.23109843,-0.24094363,0.03161614,-0.5194769,"review_length, helpfulness_ratio, rating","AI automation recommended due to low predicted risk (0.11). Key signals: review_length, helpfulness_ratio, rating."
